Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101305D001210;20/08/2024;15;46;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101314D001140;13/06/2024;15;61;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101314D001140;01/07/2024;15;161;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101314D001140;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101314D001140;05/08/2024;30;46;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101314D001140;19/08/2024;15;161;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101378D001180;13/06/2024;15;61;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101378D001180;01/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101378D001180;17/07/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101378D001180;05/08/2024;30;30;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101378D001180;19/08/2024;46;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101403D001328;18/06/2024;61;312;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101403D001328;10/07/2024;15;144;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101403D001328;25/07/2024;15;46;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101403D001328;06/08/2024;45;109;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101403D001328;21/08/2024;127;347;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101407D001685;18/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101407D001685;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101407D001685;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101407D001685;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101407D001685;21/08/2024;110;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101426D001690;14/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101426D001690;01/07/2024;30;109;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101426D001690;18/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101426D001690;05/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101426D001690;20/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101452D001700;18/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101452D001700;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101452D001700;17/07/2024;15;127;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101452D001700;06/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;001;FRK2101452D001700;21/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103165D003001;13/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103165D003001;08/07/2024;15;46;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103165D003001;16/07/2024;15;77;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103165D003001;22/07/2024;633;1976;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103165D003001;06/08/2024;46;15;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103165D003001;20/08/2024;46;61;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103190D003036;03/07/2024;77;485;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103190D003036;17/07/2024;30;179;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103190D003036;07/08/2024;30;61;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103190D003036;22/08/2024;30;94;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103207D003042;28/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103207D003042;08/07/2024;77;46;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103207D003042;22/07/2024;143;94;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103207D003042;06/08/2024;110;434;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103207D003042;20/08/2024;30;46;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103221D003050;25/06/2024;15;77;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103221D003050;24/07/2024;46;15;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103221D003050;05/08/2024;485;61;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103221D003050;19/08/2024;109;213;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103310D003003;13/06/2024;61;782;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103310D003003;08/07/2024;160;489;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103310D003003;30/07/2024;161;838;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103310D003003;05/08/2024;46;728;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103310D003003;20/08/2024;61;332;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103312D003090;24/06/2024;307;234;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103312D003090;03/07/2024;15;110;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103312D003090;11/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103312D003090;23/07/2024;289;705;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103312D003090;29/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;003;FRK1103312D003090;07/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207011D007355;11/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207011D007355;02/07/2024;77;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207011D007355;17/07/2024;143;272;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207011D007355;29/07/2024;234;77;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207011D007355;12/08/2024;161;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207012D007560;11/06/2024;30;272;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207012D007560;01/07/2024;234;712;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207012D007560;15/07/2024;109;215;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207012D007560;30/07/2024;127;232;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207012D007560;12/08/2024;30;94;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;14/06/2024;15;390;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;11/07/2024;30;127;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;22/07/2024;110;287;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;06/08/2024;234;504;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;19/08/2024;30;177;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007275;12/06/2024;46;30;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007275;08/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007275;23/07/2024;61;94;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007275;05/08/2024;30;160;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007275;20/08/2024;144;109;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007280;12/06/2024;15;30;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007280;08/07/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007280;23/07/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007280;05/08/2024;15;127;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007280;20/08/2024;110;46;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207050D007260;12/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207050D007260;08/07/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207050D007260;23/07/2024;30;45;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207050D007260;05/08/2024;46;110;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207050D007260;20/08/2024;253;46;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207058D007456;12/06/2024;15;179;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207058D007456;08/07/2024;272;94;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207058D007456;23/07/2024;292;110;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207058D007456;05/08/2024;77;215;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207058D007456;20/08/2024;110;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207061D007092;14/06/2024;15;621;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207061D007092;09/07/2024;15;371;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207061D007092;24/07/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207061D007092;06/08/2024;127;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207061D007092;19/08/2024;15;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;11/06/2024;160;309;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;10/07/2024;77;144;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;16/07/2024;160;177;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;30/07/2024;46;77;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;12/08/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207071D007910;11/06/2024;15;46;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207071D007910;02/07/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207071D007910;17/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207071D007910;29/07/2024;15;126;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207071D007910;12/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207079D007605;11/06/2024;15;160;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207079D007605;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207079D007605;16/07/2024;61;213;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207079D007605;30/07/2024;30;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207079D007605;13/08/2024;77;93;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207080D007405;11/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207080D007405;02/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207080D007405;16/07/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207080D007405;30/07/2024;46;46;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207080D007405;13/08/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207082D007505;11/06/2024;15;46;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207082D007505;01/07/2024;15;127;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207082D007505;15/07/2024;127;46;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207082D007505;30/07/2024;46;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207082D007505;12/08/2024;30;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207096D007540;14/06/2024;15;77;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207096D007540;09/07/2024;144;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207096D007540;22/07/2024;215;2900;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207096D007540;06/08/2024;46;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207096D007540;19/08/2024;30;127;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;17/06/2024;94;397;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;10/07/2024;109;1264;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;18/07/2024;144;690;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;29/07/2024;30;289;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;13/08/2024;161;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207110D007220;12/06/2024;15;15;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207110D007220;08/07/2024;94;77;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207110D007220;23/07/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207110D007220;05/08/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207110D007220;20/08/2024;15;30;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207114D007602;11/06/2024;15;94;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207114D007602;02/07/2024;15;77;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207114D007602;16/07/2024;30;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207114D007602;30/07/2024;109;93;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207114D007602;13/08/2024;30;77;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007235;14/06/2024;15;127;Prélèvement de pré-saison;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007235;09/07/2024;15;15;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007235;22/07/2024;46;285;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007235;06/08/2024;46;110;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007235;19/08/2024;46;61;;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007236;01/07/2024;0;0;Prélèvement manquant;;;
2024;Auvergne-Rhône-Alpes;007;FRK2207119D007905;11/06/2024;15;15;Prélèvement de pré-saison;;;
